R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs,region
7,7,100,0.9857042578875804,1.727974076411995,175.30350128700272,ok,1.762223475327638,178.77811333636538,100,ok,diagnostic_only,1.2728211210017105e-11,9.921801186831214e-12,77.95126136045538,48,borderline_R7-8
7,8,100,-0.6551526443477266,1.6483516572752608,251.5981079365662,ok,1.6039828663444349,244.8258249711208,100,ok,diagnostic_only,4.749867045029778e-12,7.576475733528523e-12,159.50921703074795,46,borderline_R7-8
7,9,100,-0.6112339185381667,1.0864901228754675,177.75357190156078,ok,1.0762315312914812,176.0752305541891,100,ok,diagnostic_only,9.145566912825859e-12,9.338932653151204e-12,102.1143111429666,48,borderline_R7-8
8,1,100,1.3489525837064484,0.0078194369771511,0.579667296804912,ok,0.0062288443902845,0.4617541391388204,100,ok,good,1.5295804213453534e-08,6.745305428041983e-11,0.4409905706108019,0,borderline_R7-8
8,2,100,1.3041139751672044,0.0119674961854681,0.9176725664590591,ok,0.0118493021209861,0.9086093966186404,100,ok,good,3.9694437545085966e-09,2.858156790391567e-11,0.7200396244801803,0,borderline_R7-8
8,3,100,1.2845218183907403,0.0308371009752454,2.4006677452842684,ok,0.0291835372411634,2.271937838916961,100,ok,good,1.0773582690514147e-09,1.3760646891465e-11,1.2772582052561663,0,borderline_R7-8
8,4,100,1.5533736825779445,0.1468294790922487,9.452296040484846,ok,0.1291684113497048,8.315346963735074,100,ok,good,2.981943508816066e-10,8.84928721384319e-12,2.967624030328013,0,borderline_R7-8
8,5,100,1.10351047128049,0.3505766911049368,31.769221971961457,ok,0.3484364514126863,31.57527368166866,100,ok,diagnostic_only,6.307798231876629e-11,8.554918123798895e-12,13.56244732205666,19,borderline_R7-8
8,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,2.092325676605064e-11,7.0428602845434815e-12,33.66043997496119,42,borderline_R7-8
8,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-4.113610604154376e-12,7.763201405479082e-12,188.71988995844544,47,borderline_R7-8
