cfg,T,R,Nsrc,Re,Im
11,3,4,13824,7.297413832356227e-09,-8.327847163794796e-11
11,4,0,13824,1.7571541322964138e-07,0.0
11,4,1,13824,2.360905415244985e-08,-3.42049640964618e-10
11,4,2,13824,8.936314571144806e-09,2.6747007114326996e-10
11,4,3,13824,4.61903683522529e-09,1.121390330260071e-11
11,4,4,13824,2.912040063078888e-09,-3.07238152415163e-10
11,5,0,13824,1.7481178591330174e-07,0.0
11,5,1,13824,1.445529678930976e-08,-6.144647633278386e-11
11,5,2,13824,4.605294302358945e-09,-6.868485302018025e-10
11,5,3,13824,1.6653645027732679e-09,-1.5638587922656394e-10
11,5,4,13824,1.4356314311730775e-09,7.676075276578425e-11
11,6,0,13824,1.749727838594812e-07,0.0
11,6,1,13824,8.30368248954541e-09,3.2455040883520435e-12
11,6,2,13824,2.0627356683854814e-09,-7.048183401666016e-10
11,6,3,13824,4.4760921591021697e-10,-1.9203468364850836e-10
11,6,4,13824,-4.006567095348059e-11,-3.0351799690912475e-10
11,7,0,13824,1.7525069251828663e-07,0.0
11,7,1,13824,5.24990597126502e-09,2.2122790897973262e-10
11,7,2,13824,1.3013802413876066e-09,-2.7035229220658035e-10
11,7,3,13824,1.436203200709773e-10,1.0423136881539621e-10
11,7,4,13824,-2.394264345746847e-10,1.8183693900556115e-10
11,8,0,13824,1.7269138651892792e-07,0.0
11,8,1,13824,4.024826618685783e-09,-4.0218353034597135e-12
11,8,2,13824,1.1460985808821276e-09,1.232735095222589e-10
11,8,3,13824,-3.295355984819782e-10,5.152672820959105e-10
11,8,4,13824,-8.446571105646412e-11,-2.694276004860752e-10
12,1,0,13824,1.7695308433149486e-07,0.0
12,1,1,13824,1.0286359900317729e-07,-3.168704256480622e-10
12,1,2,13824,7.604982457997847e-08,-6.821964121020501e-10
12,1,3,13824,5.967983216633309e-08,-6.442329982076339e-10
12,1,4,13824,4.780554967925465e-08,-4.6521623048828046e-10
12,2,0,13824,1.7552395495717e-07,0.0
12,2,1,13824,6.254933785109135e-08,8.622776106169305e-10
12,2,2,13824,3.6931385874317065e-08,6.217468190723608e-10
12,2,3,13824,2.5116296824168358e-08,7.99495789739139e-10
12,2,4,13824,1.7810006948002948e-08,9.494894781666079e-10
12,3,0,13824,1.7511688304700172e-07,0.0
