cfg,T,R,Nsrc,Re,Im
8,4,1,82944,2.3891511876240436e-08,-9.460024188759685e-12
8,4,2,82944,9.047411479703925e-09,1.7460382773248318e-10
8,4,3,82944,4.297584189340492e-09,-3.341288591199722e-11
8,4,4,82944,2.5448415689810544e-09,2.411943007548219e-10
8,4,5,82944,1.6363089865632004e-09,-1.1068150274264655e-10
8,4,6,82944,1.058161461011628e-09,-3.034813255858528e-11
8,5,0,82944,1.7506680208053294e-07,0.0
8,5,1,82944,1.480103256926134e-08,1.48712165836654e-11
8,5,2,82944,4.39198549568353e-09,1.5145602828414915e-10
8,5,3,82944,1.8724374397410916e-09,1.9427245233748585e-11
8,5,4,82944,9.331272648464188e-10,1.5318445883683082e-10
8,5,5,82944,5.231133918632396e-10,-3.5699462444432785e-11
8,5,6,82944,3.601410654880788e-10,2.7460697567799565e-11
8,6,0,82944,1.7495621732826882e-07,0.0
8,6,1,82944,9.352998001123069e-09,-1.5629781617896613e-11
8,6,2,82944,1.971530530889277e-09,3.3410957339718492e-12
8,6,3,82944,8.078929722187395e-10,-3.211473819912845e-10
8,6,4,82944,4.86185260508292e-10,-2.478706129721876e-10
8,6,5,82944,1.6207284641088596e-10,1.3055134558743562e-10
8,6,6,82944,1.4595548641798103e-10,1.5832351599268e-10
8,7,0,82944,1.742840500707243e-07,0.0
8,7,1,82944,5.803263255253644e-09,8.589336191032418e-11
8,7,2,82944,7.346706759469455e-10,6.898571760802132e-11
8,7,3,82944,1.3093560441100618e-10,-1.3707754283124695e-10
8,7,4,82944,2.5903611905041367e-10,-1.1479924972890758e-10
8,7,5,82944,2.0190705749284432e-10,1.6736937448598614e-10
8,7,6,82944,-3.5086982124901236e-11,9.803082856416399e-11
8,8,0,82944,1.7437001251864773e-07,0.0
