R_over_a,aV,err_aV_jackknife,lower_1sigma,upper_1sigma
4.675000000000001,1.0132070223423386,0.0015091427828531523,1.0116978795594855,1.0147161651251917
4.6875,1.0144324701928609,0.001517410395895672,1.0129150597969652,1.0159498805887566
4.7,1.0156570721455833,0.0015256940919937522,1.0141313780535897,1.017182766237577
4.7125,1.0168808349317882,0.001533993695001914,1.0153468412367863,1.01841482862679
4.725,1.018103765211527,0.0015423090312873492,1.0165614561802396,1.0196460742428144
4.737500000000001,1.0193258695745606,0.0015506399296867659,1.0177752296448739,1.0208765095042474
4.75,1.0205471545412845,0.0015589862214700182,1.0189881683198145,1.0221061407627545
4.7625,1.021767626563638,0.0015673477402978575,1.0202002788233402,1.0233349743039357
4.775,1.0229872920260006,0.0015757243221842284,1.0214115677038162,1.024563016348185
4.7875,1.024206157246075,0.0015841158054579203,1.022622041440617,1.025790273051533
4.800000000000001,1.0254242284757538,0.0015925220307255884,1.0238317064450282,1.0270167505064793
4.8125,1.0266415119019752,0.0016009428408340892,1.025040569061141,1.0282424547428093
4.825,1.0278580136475641,0.0016093780808339655,1.0262486355667302,1.029467391728398
4.8375,1.0290737397720606,0.001617827597944963,1.0274559121741156,1.0306915673700057
4.85,1.0302886962725344,0.0016262912415192794,1.0286624050310151,1.0319149875140536
4.862500000000001,1.0315028890843894,0.0016347688630075233,1.0298681202213817,1.033137657947397
4.875,1.0327163240821535,0.0016432603159252648,1.0310730637662282,1.0343595843980788
4.8875,1.0339290070802576,0.0016517654558183487,1.0322772416244392,1.035580772536076
4.9,1.0351409438338004,0.0016602841402307551,1.0334806596935697,1.036801227974031
4.9125,1.0363521400393054,0.0016688162286727353,1.0346833238106328,1.038020956267978
4.925000000000001,1.0375626013354635,0.0016773615825864394,1.035885239752877,1.03923996291805
4.9375,1.0387723333038645,0.0016859200653180834,1.0370864132385464,1.0404582533691826
4.95,1.0399813414697188,0.0016944915420847926,1.0382868499276339,1.0416758330118037
4.9625,1.041189631302567,0.0017030758799443787,1.0394865554226227,1.0428927071825114
4.975,1.0423972082169792,0.0017116729477667022,1.0406855352692126,1.0441088811647459
4.987500000000001,1.0436040775732451,0.0017202826162039278,1.0418837949570412,1.045324360189449
5.0,1.0448102446780503,0.001728904757660844,1.0430813399203895,1.046539149435711
5.0125,1.0460157147851465,0.0017375392462678412,1.0442781755388788,1.0477532540314143
5.025,1.047220493096009,0.0017461859578528714,1.045474307138156,1.0489666790538619
5.0375000000000005,1.0484245847604856,0.0017548447699132837,1.0466697399905722,1.050179429530399
5.05,1.049627994877436,0.0017635155615900692,1.047864479315846,1.0513915104390261
5.0625,1.0508307284953602,0.0017721982136405137,1.0490585302817197,1.0526029267090007
5.075,1.0520327906130194,0.0017808926084129668,1.0502518980046063,1.0538136832214324
5.0875,1.0532341861800472,0.001789598629821342,1.0514445875502259,1.0550237848098685
