model,fit_label,Rmin,Rmax,omitted_cfg,V0,sigma,alpha,a_sqrt_sigma
cornell,R1-4,1,4,15,0.6665534761112818,0.08578222300045132,0.2718808917994779,0.2928860239076821
cornell,R1-4,1,4,16,0.6691347100503555,0.08514048392094763,0.2737517837544712,0.29178842321268955
cornell,R1-4,1,4,17,0.6679494309930231,0.0854744771909845,0.2728892640332376,0.29236018400422537
cornell,R1-4,1,4,18,0.6693195176813171,0.08510689615214342,0.27393340422633294,0.29173086252939273
cornell,R1-4,1,4,19,0.6684608694141232,0.08537306438060276,0.27341111372109694,0.29218669439350375
cornell,R1-4,1,4,20,0.6682918447466957,0.0853738738317227,0.2731862884043579,0.29218807955103626
cornell,R1-4,1,4,21,0.6667206154801077,0.08582341040870346,0.27197872805651174,0.29295632850085945
cornell,R1-4,1,4,22,0.6677138723917183,0.0855450496831185,0.2727017802708879,0.2924808535325321
cornell,R1-4,1,4,23,0.6685689408603261,0.0853031170926691,0.273373631766617,0.2920669736424663
cornell,R1-4,1,4,24,0.6675635362599728,0.0855438550398703,0.27249153827656547,0.2924788112665092
cornell,R1-4,1,4,25,0.666751380417877,0.08583756900665834,0.27212143795674726,0.29298049253603614
cornell,R1-4,1,4,26,0.6676301769125034,0.08557649096088231,0.27268234956149595,0.29253459788695474
cornell,R1-4,1,4,27,0.6701277650841148,0.08482734512018215,0.2744355544586518,0.29125134355086185
cornell,R1-4,1,4,28,0.6676399138179426,0.08559727097376506,0.272762335845671,0.29257011291956164
cornell,R1-4,1,4,29,0.6685430704355154,0.08541042743945379,0.27345922116467386,0.2922506243611017
cornell,R1-4,1,4,30,0.6705554245144439,0.08471645039554684,0.27479091619441093,0.29106090495899106
cornell,R1-4,1,4,31,0.6669244930782487,0.08578454340636757,0.27230252384005343,0.29288998515887765
cornell,R1-4,1,4,32,0.6667601089174663,0.08563826086202032,0.27184425859726036,0.2926401559287794
cornell,R1-4,1,4,33,0.6686066231579292,0.08529870567001148,0.27349871100124656,0.29205942147106206
cornell,R1-4,1,4,34,0.6678509894809889,0.08547203005003084,0.2728381305968114,0.2923559988268256
cornell,R1-4,1,4,35,0.6698296693915838,0.08495536749278759,0.2742375407931952,0.29147104057313755
cornell,R1-4,1,4,36,0.6669326815016912,0.08568682579307668,0.27208207965963815,0.29272312138448625
cornell,R1-4,1,4,37,0.6687436174604796,0.08539964293446478,0.273654420614797,0.2922321729968567
cornell,R1-4,1,4,38,0.6670630601994272,0.08571566071342687,0.27223103715164526,0.2927723701332263
cornell,R1-4,1,4,39,0.666927602261603,0.08583663044575975,0.2722647500157851,0.29297889078525735
cornell,R1-4,1,4,40,0.6669224642616376,0.08587462023967127,0.2722340631269751,0.2930437172840791
cornell,R1-4,1,4,41,0.6681816032661757,0.08552776707990672,0.27319222291487577,0.29245130719473067
cornell,R1-4,1,4,42,0.6671830873971926,0.08564443159076954,0.2723924981384893,0.2926506989411943
cornell,R1-4,1,4,43,0.6680178701059803,0.08540549377347949,0.2728821425943282,0.29224218342580094
cornell,R1-4,1,4,44,0.6676826942705035,0.08558898353767651,0.27281791056458754,0.29255594941425567
cornell,R1-4,1,4,45,0.6678093924854183,0.08559671653719512,0.27290406796963856,0.29256916539033145
cornell,R1-4,1,4,46,0.6678464529771315,0.08551959267431439,0.2728242866902602,0.2924373311913416
cornell,R1-4,1,4,47,0.6688442185541017,0.08530746262984513,0.2736318255911501,0.29207441282975327
cornell,R1-4,1,4,48,0.6680095080156132,0.08550778984085246,0.2729913952573362,0.2924171503876824
cornell,R1-4,1,4,49,0.6676398257341207,0.08569891174580996,0.2728196964555373,0.2927437646574389
cornell,R1-4,1,4,50,0.6676464546431402,0.08579634403935622,0.2729520925187388,0.29291012962913426
cornell,R1-4,1,4,51,0.6687383572341223,0.08529722707403702,0.2735374932489695,0.2920568901327908
cornell,R1-4,1,4,52,0.6674318563977879,0.08563535723843266,0.27258601249443104,0.2926351948047819
cornell,R1-4,1,4,53,0.6680296587062339,0.08552297987126305,0.27296960687325744,0.29244312245505627
cornell,R1-4,1,4,54,0.66911361945501,0.085215340207841,0.27377493420173615,0.2919166665468777
cornell,R1-4,1,4,55,0.6676727943630302,0.0855280041463806,0.2726778882786014,0.2924517125037578
cornell,R1-4,1,4,56,0.6661754447068525,0.08604000741702049,0.2716869852832705,0.29332577012090244
cornell,R1-4,1,4,57,0.6659623344680106,0.08602089097335268,0.27141953038103017,0.2932931826233823
cornell,R1-4,1,4,58,0.6682634168668897,0.08546978234363285,0.2732747151387295,0.29235215467588543
cornell,R1-4,1,4,59,0.6681638664100052,0.08550223546030372,0.27310650106457196,0.2924076528757476
cornell,R1-4,1,4,60,0.6673999840529434,0.08558001115564302,0.27248598330127827,0.2925406145403455
cornell,R1-4,1,4,61,0.6664640694358803,0.08592808701088915,0.2717384372701664,0.29313492970113464
cornell,R1-4,1,4,62,0.6696573340269986,0.08500453364219522,0.2741940973778997,0.29155536977081253
cornell,R1-4,1,4,63,0.668014993163086,0.08538385127511425,0.2729813726261998,0.29220515271828157
cornell,R1-4,1,4,64,0.6656530296893415,0.08620774536569482,0.2713892695539641,0.2936115552318996
cornell,R1-4,1,4,65,0.6680364102133001,0.08554412101102396,0.2731035218117616,0.2924792659506379
cornell,R1-4,1,4,66,0.6672730587646624,0.08566936799792216,0.27247258340602476,0.2926933002272552
cornell,R1-4,1,4,67,0.6672673431481814,0.08565043923312743,0.27245241992089514,0.29266096294710614
cornell,R1-4,1,4,68,0.668309221010964,0.08536171379505271,0.27312933254298566,0.2921672702324008
cornell,R1-4,1,4,69,0.6681050265963779,0.08548968621405184,0.27304903495378685,0.29238619361052576
cornell,R1-4,1,4,70,0.6683366598418613,0.08526227804509626,0.2730975689181561,0.29199705143219556
cornell,R1-4,1,4,71,0.6694676382889594,0.08506663241479168,0.2741061713086863,0.29166184600456685
