cfg,R,Nsrc,Re,Im
93,3,13824,+5.9427398175280804e-08,-9.9175986223227442e-11
94,0,13824,+1.7678225575423342e-07,+0.0000000000000000e+00
94,1,13824,+1.0142825184047320e-07,+1.4869983089155548e-11
94,2,13824,+7.4344110830206620e-08,+5.5862437345576963e-10
94,3,13824,+5.8181059004134896e-08,+8.1114571396160148e-10
95,0,13824,+1.7671051985406308e-07,+0.0000000000000000e+00
95,1,13824,+1.0277848446646346e-07,-8.8243947051781798e-10
95,2,13824,+7.5068675095790368e-08,-1.0846212601475512e-09
95,3,13824,+5.8358280833826098e-08,-9.9339761147182274e-10
96,0,13824,+1.7283172828149514e-07,+0.0000000000000000e+00
96,1,13824,+1.0004792964621703e-07,+5.6842807222859632e-12
96,2,13824,+7.2526263765073151e-08,+1.4968725295469538e-10
96,3,13824,+5.6938588026921181e-08,-3.3363659942762462e-10
97,0,13824,+1.7796820760402505e-07,+0.0000000000000000e+00
97,1,13824,+1.0342666567484267e-07,-3.6637739551779315e-10
97,2,13824,+7.6871472982701095e-08,-6.6217671868497995e-10
97,3,13824,+6.0634062657113442e-08,-5.5531355610164693e-10
98,0,13824,+1.7743114397878115e-07,+0.0000000000000000e+00
98,1,13824,+1.0374155321632316e-07,+2.2860498391417931e-10
98,2,13824,+7.6522936940426266e-08,+6.8500914736751748e-10
98,3,13824,+6.0782054879657326e-08,+7.9289260110140230e-10
99,0,13824,+1.7838673066856326e-07,+0.0000000000000000e+00
99,1,13824,+1.0356625417042886e-07,+1.3586127866765706e-09
99,2,13824,+7.6799778953170174e-08,+2.1762097775500243e-09
99,3,13824,+6.0627447396305485e-08,+2.8173173479111211e-09
9,0,13824,+1.7707111632820571e-07,+0.0000000000000000e+00
9,1,13824,+1.0277757228005365e-07,+3.2861812095580637e-10
9,2,13824,+7.5690796244770036e-08,+3.6339843197338834e-10
9,3,13824,+5.8890997716166195e-08,+4.5264725394480525e-10
