radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
5,3,7,3,nan,nan,0,100,0,0.0
6,1,2,1,1.1401391067196198,nan,99,100,0,1.553540358161484e-20
6,1,2,2,2.208122543132181,nan,99,100,0,1.553540358161484e-20
6,1,2,3,nan,nan,0,100,0,1.553540358161484e-20
6,1,3,1,1.0860955239110053,nan,99,100,0,1.553540358161484e-20
6,1,3,2,-0.36178675472821525,nan,99,100,0,1.553540358161484e-20
6,1,3,3,nan,nan,0,100,0,1.553540358161484e-20
6,1,4,1,1.1692856348442815,nan,99,100,0,1.553540358161484e-20
6,1,4,2,nan,nan,1,100,0,1.553540358161484e-20
6,1,4,3,nan,nan,0,100,0,1.553540358161484e-20
6,1,5,1,0.9327536361332219,nan,99,100,0,1.553540358161484e-20
6,1,5,2,nan,nan,0,100,0,1.553540358161484e-20
6,1,5,3,nan,nan,0,100,0,1.553540358161484e-20
6,1,6,1,-1.3807016937071805,nan,99,100,0,1.553540358161484e-20
6,1,6,2,nan,nan,0,100,0,1.553540358161484e-20
6,1,6,3,nan,nan,0,100,0,1.553540358161484e-20
6,1,7,1,0.011551869540630734,nan,99,100,0,1.553540358161484e-20
6,1,7,2,2.320041669129732,nan,99,100,0,1.553540358161484e-20
6,1,7,3,nan,nan,0,100,0,1.553540358161484e-20
6,2,3,1,-0.16423544732022735,nan,73,100,1,3.7976949853835524e-19
6,2,3,2,0.7435091167468156,nan,73,100,1,3.7976949853835524e-19
6,2,3,3,nan,nan,0,100,1,3.7976949853835524e-19
6,2,4,1,2.380167871625054,nan,73,100,0,3.7976949853835524e-19
6,2,4,2,nan,nan,1,100,0,3.7976949853835524e-19
6,2,4,3,nan,nan,0,100,0,3.7976949853835524e-19
6,2,5,1,0.9255471666058159,nan,73,100,0,3.7976949853835524e-19
6,2,5,2,nan,nan,0,100,0,3.7976949853835524e-19
6,2,5,3,nan,nan,0,100,0,3.7976949853835524e-19
6,2,6,1,-5.677350683813378,nan,73,100,0,3.7976949853835524e-19
6,2,6,2,nan,nan,0,100,0,3.7976949853835524e-19
6,2,6,3,nan,nan,0,100,0,3.7976949853835524e-19
6,2,7,1,2.237610791944717,nan,73,100,0,3.7976949853835524e-19
6,2,7,2,3.5282327344355067,nan,73,100,0,3.7976949853835524e-19
6,2,7,3,nan,nan,0,100,0,3.7976949853835524e-19
6,3,4,1,nan,nan,1,100,1,0.0
6,3,4,2,nan,nan,0,100,1,0.0
6,3,4,3,nan,nan,0,100,1,0.0
6,3,5,1,nan,nan,1,100,1,0.0
6,3,5,2,nan,nan,0,100,1,0.0
6,3,5,3,nan,nan,0,100,1,0.0
6,3,6,1,nan,nan,1,100,0,0.0
6,3,6,2,nan,nan,1,100,0,0.0
6,3,6,3,nan,nan,0,100,0,0.0
6,3,7,1,nan,nan,1,100,0,0.0
6,3,7,2,nan,nan,1,100,0,0.0
6,3,7,3,nan,nan,0,100,0,0.0
