basis,basis_profiles,basis_size,radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
sigma001_constant,sigma=0.0100|constant,2,1,2,3,2,-0.887377526481587,nan,96,100,1,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,4,1,-0.5854265285263696,1.410489725364974,100,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,4,2,-0.5661026262869204,nan,98,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,5,1,-0.21020003924944064,0.4969832521561706,100,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,5,2,0.5205800820541131,nan,99,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,6,1,1.64179614761337,2.3041125383664203,100,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,6,2,1.2016787095948436,nan,97,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,7,1,0.9306459062072618,1.1245862263686792,100,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,7,2,-0.20318771317552817,nan,97,100,0,1.5090685133327952e-21
sigma001_constant,sigma=0.0100|constant,2,1,3,4,1,-1.6338281535676615,nan,97,100,1,3.873023411371766e-21
sigma001_constant,sigma=0.0100|constant,2,1,3,4,2,0.48229899875436133,nan,95,100,1,3.873023411371766e-21
sigma001_constant,sigma=0.0100|constant,2,1,3,5,1,-0.21300330717361107,nan,97,100,1,3.873023411371766e-21
sigma001_constant,sigma=0.0100|constant,2,1,3,5,2,0.5233833499782912,nan,96,100,1,3.873023411371766e-21
