profile,sigma,radius,effective_time,effective_energy,jackknife_error,plateau_fit_T3_5,plateau_fit_error,chi2_dof,p_value,z2,shift_from_constant,paired_shift_z
constant,inf,4,4,0.9433765351503598,0.029551074571149468,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
constant,inf,4,5,0.8995117518137308,0.07044507471711949,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
constant,inf,4,6,0.7766721853426801,0.14805198105612186,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
constant,inf,4,7,1.1534501672537159,0.5332129395467591,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
constant,inf,5,1,1.066575997227521,0.006529272459569213,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,5,2,1.0425800065212179,0.010352381087708072,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,5,3,1.0241579321627872,0.022473487137034762,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,5,4,1.039553974496516,0.05265576097626391,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,5,5,1.034665172808515,0.13963892839486752,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,5,6,0.8794091914990081,0.3398616684271786,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,5,7,nan,nan,1.0265854309308071,0.020659808984804698,0.03980843513735708,0.9609735102794804,0.6625371876348325,0.0,0.0
constant,inf,6,1,1.1636081821558846,0.00955818303804088,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
constant,inf,6,2,1.1308746776332255,0.01427059588783994,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
constant,inf,6,3,1.1096247259386796,0.030323483888118626,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
constant,inf,6,4,1.1858330674350768,0.09512587616295938,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
constant,inf,6,5,0.9764078193767035,0.21213686472280344,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
constant,inf,6,6,0.7767895669010432,0.48335212796387084,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
constant,inf,6,7,nan,nan,1.1162708041658476,0.027947160476359433,0.4070332169238797,0.6656220800163408,0.4432768477801821,0.0,0.0
